question,query,sql,table1,table2
What types of incidents happened in the same location during both daytime and nighttime?,What are the OCCURRENCETYPEDESCRIPTIONF and corresponding WORLDAREANAMEE for incidents that occurred at the same OCCURRENCELOCATION during both day and night?,"SELECT T1.`OCCURRENCETYPEDESCRIPTIONF`, T1.`WORLDAREANAMEE`, T2.`DAYORNIGHT` FROM `CAN_CSV0000000000001337__3` T1 JOIN `CAN_CSV0000000000001337__4` T2 ON T1.`OCCURRENCELOCATION` = T2.`OCCURRENCELOCATION` WHERE T1.`OCCURRENCETYPEDESCRIPTIONF` = T2.`OCCURRENCETYPEDESCRIPTIONF` AND (T1.`DAYORNIGHT` = 'Day' AND T2.`DAYORNIGHT` = 'Night' OR T1.`DAYORNIGHT` = 'Night' AND T2.`DAYORNIGHT` = 'Day')",CAN_CSV0000000000001337__3,CAN_CSV0000000000001337__4
What are the analysis types and values for each product type where the system IDs match and the country of origin is Canada or the US?,What are the Analysis_type_/_Type_d'analyse and corresponding Value_text_/_Valeur_textuelle for each Product_type_/_Type_de_produit from both tables where System_ID_/_ID_systA_me in 'CAN_CSV0000000000024893' matches System_ID_/_ID_systeme in 'CAN_CSV0000000000020982' and Country_of_origin_/_Pays_d'origine is 'Canada Domestic / Nationale' or 'United States / États-Unis Import / Importation'?,"SELECT t1.`Analysis_type_/_Type_d'analyse`, t1.`Value_text_/_Valeur_textuelle`, t2.`Product_type_/_Type_de_produit` FROM `CAN_CSV0000000000024893` t1 LEFT JOIN `CAN_CSV0000000000020982` t2 ON t1.`System_ID_/_ID_systA_me` = t2.`System_ID_/_ID_systeme` WHERE (t1.`Country_of_origin_/_Pays_d'origine` LIKE '%Canada%' OR t1.`Country_of_origin_/_Pays_d'origine` LIKE '%United States%')",CAN_CSV0000000000024893,CAN_CSV0000000000020982
What are the analysis types and corresponding text values for products from Canada or the United States?,What are the analysis types and corresponding values for each product type where the country of origin is either Canada or United States?,"SELECT t1.`Analysis_type_/_Type_d'analyse`, t1.`Value_text_/_Valeur_textuelle`, t2.`Product_type_/_Type_de_produit` FROM `CAN_CSV0000000000024893` t1 LEFT JOIN `CAN_CSV0000000000020982` t2 ON t1.`System_ID_/_ID_systA_me` = t2.`System_ID_/_ID_systeme` WHERE (t1.`Country_of_origin_/_Pays_d'origine` LIKE '%Canada%' OR t1.`Country_of_origin_/_Pays_d'origine` LIKE '%United States%')",CAN_CSV0000000000024893,CAN_CSV0000000000020982
"Get analysis types, values, and product types for Canadian samples","What are the analysis types and corresponding values from table CAN_CSV0000000000024893 for samples where country of origin is Canada, along with product type from table CAN_CSV0000000000020982?","SELECT t1.`Analysis_type_/_Type_d'analyse`, t1.`Value_text_/_Valeur_textuelle`, t2.`Product_type_/_Type_de_produit` FROM `CAN_CSV0000000000024893` t1 LEFT JOIN `CAN_CSV0000000000020982` t2 ON t1.`System_ID_/_ID_systA_me` = t2.`System_ID_/_ID_systeme` WHERE t1.`Country_of_origin_/_Pays_d'origine` LIKE '%Canada%'",CAN_CSV0000000000024893,CAN_CSV0000000000020982
What products have a specific unit of measurement for each geographic location and data guide identifier when their status is not empty?,What are the products and corresponding UOM for each unique combination of GEO and DGUID across both tables where STATUS is not empty?,"SELECT t1.`Products`, t1.`UOM`, t2.`Products`, t2.`UOM` FROM `CAN_CSV0000000000005486` t1 LEFT JOIN `CAN_CSV0000000000005486` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` WHERE (t1.`STATUS` != '' OR t2.`STATUS` != '')",CAN_CSV0000000000005486,CAN_CSV0000000000005486
What products have a valid status in the same geographic area and data guide?,What are the products and corresponding UOM for each unique combination of GEO and DGUID where STATUS is not empty in both tables?,"SELECT DISTINCT t1.`Products`, t1.`UOM` FROM `CAN_CSV0000000000005486` t1 INNER JOIN `CAN_CSV0000000000005486` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` WHERE t1.`STATUS` != '' AND t2.`STATUS` != ''",CAN_CSV0000000000005486,CAN_CSV0000000000005486
What products have a specific unit of measurement for each geographic location and data guide where the status is not empty?,What are the products and corresponding UOM for each unique combination of GEO and DGUID where STATUS is not empty in both tables?,"SELECT DISTINCT t1.`Products`, t1.`UOM` FROM `CAN_CSV0000000000005486` t1 INNER JOIN `CAN_CSV0000000000005486` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` WHERE t1.`STATUS` != '' AND t2.`STATUS` != ''",CAN_CSV0000000000005486,CAN_CSV0000000000005486
Total private households by structural type of dwelling and indigenous identity in each region,What is the total number of private households with a specific structural type of dwelling and the corresponding indigenous identity for each geo region?,"SELECT t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`, SUM(t2.`Indigenous_identity_(9):Total_-_Indigenous_identity[1]`) AS total_indigenous_identity FROM `CAN_CSV0000000000002323` t1 INNER JOIN `CAN_CSV0000000000001286` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` GROUP BY t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`",CAN_CSV0000000000002323,CAN_CSV0000000000001286
What is the average number of private households with a specific structural type of dwelling and residence by indigenous geography for each geo region where the total indigenous identity count is greater than 10000?,What is the average number of private households with a specific structural type of dwelling and residence by indigenous geography for each geo region where the total indigenous identity count is greater than 10000?,"SELECT t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`, t2.`Residence_by_Indigenous_geography_(10)`, AVG(t1.`Tenure_(4):Total_-_Tenure[1]`) AS average_private_households FROM `CAN_CSV0000000000002323` t1 INNER JOIN `CAN_CSV0000000000001286` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` WHERE t2.`Indigenous_identity_(9):Total_-_Indigenous_identity[1]` > 10000 GROUP BY t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`, t2.`Residence_by_Indigenous_geography_(10)`",CAN_CSV0000000000002323,CAN_CSV0000000000001286
"What is the average number of private households with a specific structural type of dwelling for each geographic location where the total indigenous identity count exceeds 100,000, and what is the corresponding residence by indigenous geography?","What is the average number of private households with a specific structural type of dwelling for each geographic location where the total indigenous identity count exceeds 100,000, and what is the corresponding residence by indigenous geography?","SELECT t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`, t2.`Residence_by_Indigenous_geography_(10)`, AVG(t1.`Tenure_(4):Total_-_Tenure[1]`) AS average_private_households FROM `CAN_CSV0000000000002323` t1 INNER JOIN `CAN_CSV0000000000001286` t2 ON t1.`GEO` = t2.`GEO` AND t1.`DGUID` = t2.`DGUID` WHERE t2.`Indigenous_identity_(9):Total_-_Indigenous_identity[1]` > 100000 GROUP BY t1.`GEO`, t1.`Structural_type_of_dwelling_(10)`, t2.`Residence_by_Indigenous_geography_(10)`",CAN_CSV0000000000002323,CAN_CSV0000000000001286
What response types and total staff hours are associated with incidents in a particular protected heritage area when the incident occurred within a park?,"What are the Response_Type and corresponding Sum_of_Total_Staff_Hours for incidents that occurred within a specific Protected_Heritage_Area, considering only incidents where Within_Park is 'Yes'?","SELECT t1.`Response_Type`, t2.`Sum_of_Total_Staff_Hours` FROM `CAN_CSV0000000000010564` t1 INNER JOIN `CAN_CSV0000000000003410` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t2.`Within_Park` = 'Yes'",CAN_CSV0000000000010564,CAN_CSV0000000000003410
What heritage areas were investigated and how many staff were involved in each incident?,What are the Protected_Heritage_Area and corresponding Sum_of_Total_Staff_Involved for incidents where Response_Type is 'Investigate Incident'?,"SELECT t1.`Protected_Heritage_Area`, t2.`Sum_of_Total_Staff_Involved` FROM `CAN_CSV0000000000010564` t1 INNER JOIN `CAN_CSV0000000000003410` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t1.`Response_Type` = 'Investigate Incident'",CAN_CSV0000000000010564,CAN_CSV0000000000003410
What types of responses and total staff hours were involved in incidents inside protected heritage areas within parks?,What are the Response_Type and corresponding Sum_of_Total_Staff_Hours for incidents that occurred within a Protected_Heritage_Area where Within_Park is 'Yes'?,"SELECT t1.`Response_Type`, t2.`Sum_of_Total_Staff_Hours` FROM `CAN_CSV0000000000010564` t1 INNER JOIN `CAN_CSV0000000000003410` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t2.`Within_Park` = 'Yes' AND t1.`Protected_Heritage_Area` = t2.`Protected_Heritage_Area`",CAN_CSV0000000000010564,CAN_CSV0000000000003410
What are the shelter spending and values for each geography where the statistic is median expenditure per household reporting in both tables?,"What are the Household_spending,_shelter and corresponding VALUE for each GEO where Statistics is 'Median expenditure per household reporting' in both tables?","SELECT t1.`GEO`, t1.`Household_spending,_shelter`, t2.`VALUE` FROM `CAN_CSV0000000000015700` t1 INNER JOIN `CAN_CSV0000000000015700` t2 ON t1.`i""REF_DATE""` = t2.`i""REF_DATE""` WHERE t1.`Statistics` = 'Median expenditure per household reporting' AND t2.`Statistics` = 'Median expenditure per household reporting'",CAN_CSV0000000000015700,CAN_CSV0000000000015700
Locations with property taxes for owned living quarters and percent of households reporting water and sewage for principal accommodation,What are the locations where the household spending on shelter is property taxes for owned living quarters and the corresponding value of percent of households reporting for water and sewage for principal accommodation in the same region?,"SELECT t1.`GEO`, t2.`VALUE` FROM `CAN_CSV0000000000015700` t1 INNER JOIN `CAN_CSV0000000000015700` t2 ON t1.`GEO` = t2.`GEO` WHERE t1.`Household_spending,_shelter` = 'Property taxes for owned living quarters' AND t2.`Household_spending,_shelter` = 'Water and sewage for principal accommodation' AND t2.`Statistics` = 'Percent of households reporting'",CAN_CSV0000000000015700,CAN_CSV0000000000015700
What are the household values with estimated number of households reporting and their shelter spending in Canada?,What are the values of households that have statistics as estimated number of households reporting and their corresponding household spending shelter where geo is Canada?,"SELECT t1.`GEO`, t1.`Household_spending,_shelter`, t2.`VALUE` FROM `CAN_CSV0000000000015700` t1 INNER JOIN `CAN_CSV0000000000015700` t2 ON t1.`i""REF_DATE""` = t2.`i""REF_DATE""` WHERE t1.`GEO` = 'Canada' AND t2.`Statistics` = 'Estimated number of households reporting'",CAN_CSV0000000000015700,CAN_CSV0000000000015700
What are the industry classifications and values for each geographic location and sector where the unit of measurement is dollars in both datasets?,What are the North_American_Industry_Classification_System_(NAICS) and corresponding VALUE for each unique GEO and Sector where the UOM is 'Dollars' in both tables?,"SELECT t1.`GEO`, t1.`Sector`, t1.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE` FROM `CAN_CSV0000000000013732` t1 INNER JOIN `CAN_CSV0000000000013732` t2 ON t1.`DGUID` = t2.`DGUID` AND t1.`VECTOR` = t2.`VECTOR` WHERE t1.`UOM` = 'Dollars' AND t2.`UOM` = 'Dollars'",CAN_CSV0000000000013732,CAN_CSV0000000000013732
"What are the industry classifications and values for each unique location, sector, and category where the unit of measurement is dollars and the scale factor is millions?","What are the North_American_Industry_Classification_System_(NAICS) and corresponding VALUE for each unique combination of GEO, Sector, and VECTOR where UOM is 'Dollars' and SCALAR_FACTOR is 'millions' across different reference dates?","SELECT t1.`GEO`, t1.`Sector`, t1.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE` FROM `CAN_CSV0000000000013732` t1 INNER JOIN `CAN_CSV0000000000013732` t2 ON t1.`DGUID` = t2.`DGUID` AND t1.`VECTOR` = t2.`VECTOR` WHERE t1.`UOM` = 'Dollars' AND t2.`UOM` = 'Dollars' AND t1.`SCALAR_FACTOR` = 'millions' AND t2.`SCALAR_FACTOR` = 'millions'",CAN_CSV0000000000013732,CAN_CSV0000000000013732
"Get GEO, Sector, and VALUE where UOM_ID is 81 and NAICS matches","What are the GEO and Sector for each row where UOM_ID equals 81 in both tables, along with their corresponding VALUE from the other table where North_American_Industry_Classification_System_(NAICS) matches?","SELECT t1.`GEO`, t1.`Sector`, t2.`VALUE` FROM `CAN_CSV0000000000013732` t1 INNER JOIN `CAN_CSV0000000000013732` t2 ON t1.`DGUID` = t2.`DGUID` AND t1.`North_American_Industry_Classification_System_(NAICS)` = t2.`North_American_Industry_Classification_System_(NAICS)` WHERE t1.`UOM_ID` = 81 AND t2.`UOM_ID` = 81",CAN_CSV0000000000013732,CAN_CSV0000000000013732
"What activities were involved in human wildlife interactions in Canadian national parks, along with incident details?","What types of activities were involved in human wildlife interactions within national parks of Canada, and what were the corresponding incident numbers, dates, and field units for these incidents?","SELECT t1.`Incident_Number`, t1.`Incident_Date`, t1.`Field_Unit`, t2.`Activity_Type` FROM `CAN_CSV0000000000003410` t1 INNER JOIN `CAN_CSV0000000000003463` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t1.`Incident_Type` = 'Human Wildlife Interaction';",CAN_CSV0000000000003410,CAN_CSV0000000000003463
"What activities happened in the park with more than two staff members, and what were the incident numbers, dates, and field units?","What are the Activity_Type for incidents that occurred within a park and had more than 2 staff members involved, along with their corresponding Incident_Number, Incident_Date, and Field_Unit?","SELECT t1.`Incident_Number`, t1.`Incident_Date`, t1.`Field_Unit`, t2.`Activity_Type` FROM `CAN_CSV0000000000003410` t1 INNER JOIN `CAN_CSV0000000000003463` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t1.`Within_Park` = 'Yes' AND t1.`Sum_of_Total_Staff_Involved` > 2;",CAN_CSV0000000000003410,CAN_CSV0000000000003463
"What activities happened in the park with multiple staff members, and what were the incident numbers, dates, and field units?","What are the Activity_Type for incidents that occurred within a park and had more than 1 staff member involved, along with their corresponding Incident_Number, Incident_Date, and Field_Unit?","SELECT t1.`Incident_Number`, t1.`Incident_Date`, t1.`Field_Unit`, t2.`Activity_Type` FROM `CAN_CSV0000000000003410` t1 INNER JOIN `CAN_CSV0000000000003463` t2 ON t1.`Incident_Number` = t2.`Incident_Number` WHERE t1.`Within_Park` = 'Yes' AND t1.`Sum_of_Total_Staff_Involved` > 1;",CAN_CSV0000000000003410,CAN_CSV0000000000003463
What are the industry classifications and values for all incorporated businesses in each geographic location?,What are the North_American_Industry_Classification_System_(NAICS) and corresponding VALUE for each GEO where Incorporation_status is 'All businesses' and Sector is 'Incorporated'?,"SELECT t1.`GEO`, t1.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE` FROM `CAN_CSV0000000000001024` t1 INNER JOIN `CAN_CSV0000000000007184` t2 ON t1.`GEO` = t2.`GEO` WHERE t1.`Incorporation_status` = 'All businesses' AND t2.`Sector` = 'Incorporated';",CAN_CSV0000000000001024,CAN_CSV0000000000007184
What are the names and inspection dates of day care programs that are accredited?,What are the program names and inspection dates for day care programs with accreditation status Y?,"SELECT t1.`Program_Name`, t2.`Inspection_Date` FROM `CAN_CSV0000000000009365` t1 INNER JOIN `CAN_CSV0000000000009365` t2 ON t1.`Program_ID` = t2.`Program_ID` WHERE t1.`Type_of_program` = 'DAY CARE PROGRAM' AND t2.`Accreditation_Status` = 'Y'",CAN_CSV0000000000009365,CAN_CSV0000000000009365
"What programs have more than 50 capacity and are accredited, and when were they inspected?",What are the program names and inspection dates for programs with a capacity greater than 50 and an accreditation status of Y?,"SELECT t1.`Program_Name`, t2.`Inspection_Date` FROM `CAN_CSV0000000000009365` t1 INNER JOIN `CAN_CSV0000000000009365` t2 ON t1.`Program_ID` = t2.`Program_ID` WHERE t1.`Capacity` > 50 AND t2.`Accreditation_Status` = 'Y'",CAN_CSV0000000000009365,CAN_CSV0000000000009365
What are the names and inspection dates of day care or family day home programs that can serve more than 100 people and have been accredited?,"What are the program names and inspection dates for programs with a capacity greater than 100 and an accreditation status of Y, where the type of program is either DAY CARE PROGRAM or FAMILY DAY HOME?","SELECT t1.`Program_Name`, t2.`Inspection_Date` FROM `CAN_CSV0000000000009365` t1 INNER JOIN `CAN_CSV0000000000009365` t2 ON t1.`Program_ID` = t2.`Program_ID` WHERE (t1.`Type_of_program` = 'DAY CARE PROGRAM' OR t1.`Type_of_program` = 'FAMILY DAY HOME') AND t1.`Capacity` > 100 AND t2.`Accreditation_Status` = 'Y'",CAN_CSV0000000000009365,CAN_CSV0000000000009365
What are the industry classifications and values for each geographic location and financial estimate over time?,What are the North_American_Industry_Classification_System_(NAICS) and corresponding VALUE for each unique combination of GEO and Financial_estimates across different years?,"SELECT t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE` FROM `CAN_CSV0000000000005927` t1 INNER JOIN `CAN_CSV0000000000005927` t2 ON t1.`DGUID` = t2.`DGUID` GROUP BY t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE`",CAN_CSV0000000000005927,CAN_CSV0000000000005927
"What are the industry classifications and values for each unique location, financial estimate, and unit of measurement?","What are the North American Industry Classification System (NAICS) and corresponding VALUE for each unique combination of GEO, Financial estimates, and UOM ID across both tables?","SELECT t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE`, t1.`UOM_ID` FROM `CAN_CSV0000000000005927` t1 INNER JOIN `CAN_CSV0000000000005927` t2 ON t1.`i""REF_DATE""` = t2.`i""REF_DATE""` WHERE t1.`GEO` = 'Canada' GROUP BY t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE`, t1.`UOM_ID`",CAN_CSV0000000000005927,CAN_CSV0000000000005927
"What are the industry classifications and values for each unique location, financial estimate, and unit of measurement where the reference date is the same in both tables?","What are the North American Industry Classification System (NAICS) and corresponding VALUE for each unique combination of GEO, Financial estimates, and UOM ID where the REF DATE matches between the two tables?","SELECT t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE`, t1.`UOM_ID` FROM `CAN_CSV0000000000005927` t1 INNER JOIN `CAN_CSV0000000000005927` t2 ON t1.`i""REF_DATE""` = t2.`i""REF_DATE""` GROUP BY t1.`GEO`, t1.`Financial_estimates`, t2.`North_American_Industry_Classification_System_(NAICS)`, t2.`VALUE`, t1.`UOM_ID`",CAN_CSV0000000000005927,CAN_CSV0000000000005927
"What programs have the same ID and type in both tables, and what are their names and accreditation statuses?",What are the program names and accreditation statuses for programs with matching IDs and types in both tables?,"SELECT t1.`Program_Name`, t2.`Accreditation_Status` FROM `CAN_CSV0000000000007832` t1 INNER JOIN `CAN_CSV0000000000018581` t2 ON t1.`Program_ID` = t2.`Program_ID` AND t1.`Type_of_Program` = t2.`Type_of_Program`;",CAN_CSV0000000000007832,CAN_CSV0000000000018581
"Find program names and corresponding inspection dates where program ID, type, and accreditation status match in both tables.","What are the program names and inspection dates for programs with matching IDs, types, and accreditation statuses?","SELECT t1.`Program_Name`, t2.`Inspection_Date` FROM `CAN_CSV0000000000007832` t1 INNER JOIN `CAN_CSV0000000000018581` t2 ON t1.`Program_ID` = t2.`Program_ID` AND t1.`Type_of_Program` = t2.`Type_of_Program` AND t1.`Accreditation_Status` = t2.`Accreditation_Status`;",CAN_CSV0000000000007832,CAN_CSV0000000000018581
"What programs have the same type, address, and capacity in both tables and what are their corresponding inspection reasons?","What are the program names and inspection reasons for programs with matching type, address, and capacity?","SELECT t1.`Program_Name`, t2.`Inspection_Reason` FROM `CAN_CSV0000000000007832` t1 INNER JOIN `CAN_CSV0000000000018581` t2 ON t1.`Program_ID` = t2.`Program_ID` AND t1.`Type_of_Program` = t2.`Type_of_Program` AND t1.`Program_Address` = t2.`Program_Address` AND t1.`Capacity` = t2.`Capacity`;",CAN_CSV0000000000007832,CAN_CSV0000000000018581
"What is the average number of days people are disabled for two weeks across different geographic locations, age groups, and sexes?","What is the average value of Two-week disability days for each unique combination of GEO, Age group, and Sex?","SELECT T1.`GEO`, T1.`Age_group`, T1.`Sex`, AVG(T1.`VALUE`) AS average_value FROM `CAN_CSV0000000000027243` T1 INNER JOIN `CAN_CSV0000000000027243` T2 ON T1.`GEO` = T2.`GEO` AND T1.`Age_group` = T2.`Age_group` AND T1.`Sex` = T2.`Sex` GROUP BY T1.`GEO`, T1.`Age_group`, T1.`Sex`",CAN_CSV0000000000027243,CAN_CSV0000000000027243
"What are the average value and unit of measurement for each unique combination of geography, age group, and sex where two-week disability days is total population?","What are the average value and corresponding unit of measurement for each unique combination of geography, age group, and sex where two-week disability days is total population for the variable two-week disability days in both tables?","SELECT T1.`GEO`, T1.`Age_group`, T1.`Sex`, AVG(T1.`VALUE`) AS average_value, T2.`UOM` FROM `CAN_CSV0000000000027243` T1 INNER JOIN `CAN_CSV0000000000027243` T2 ON T1.`GEO` = T2.`GEO` AND T1.`Age_group` = T2.`Age_group` AND T1.`Sex` = T2.`Sex` AND T1.`Two-week_disability_days` = 'Total population for the variable two-week disability days' AND T2.`Two-week_disability_days` = 'Total population for the variable two-week disability days' GROUP BY T1.`GEO`, T1.`Age_group`, T1.`Sex`, T2.`UOM`",CAN_CSV0000000000027243,CAN_CSV0000000000027243
"What are the average values and units for different geographic locations, age groups, and sexes when considering total population and specific characteristics?","What are the average VALUE and corresponding UOM for each unique combination of GEO, Age_group, and Sex where Two-week_disability_days is 'Total population for the variable two-week disability days' and Characteristics is either 'Coefficient of variation for number of persons' or 'Percent'?","SELECT T1.`GEO`, T1.`Age_group`, T1.`Sex`, AVG(T1.`VALUE`) AS average_value, T2.`UOM` FROM `CAN_CSV0000000000027243` T1 INNER JOIN `CAN_CSV0000000000027243` T2 ON T1.`GEO` = T2.`GEO` AND T1.`Age_group` = T2.`Age_group` AND T1.`Sex` = T2.`Sex` WHERE T1.`Two-week_disability_days` = 'Total population for the variable two-week disability days' AND (T1.`Characteristics` = 'Coefficient of variation for number of persons' OR T1.`Characteristics` = 'Percent') GROUP BY T1.`GEO`, T1.`Age_group`, T1.`Sex`, T2.`UOM`",CAN_CSV0000000000027243,CAN_CSV0000000000027243
Compare the number of tax filers by age and marital status who use NETFILE versus Paper filing with no dependents.,"What is the total count of taxfilers for each age range and marital status where the filing method is NETFILE and there are no children declared, compared to those with the same characteristics but using the Paper filing method?","SELECT T1.`CMA_or_CA_Category`, T1.`Marital_Status`, T1.`Age_Range`, T1.`Count_of_Taxfilers` AS NETFILE_Count, T2.`Count_of_Taxfilers` AS Paper_Count FROM `CAN_CSV0000000000011123` T1 INNER JOIN `CAN_CSV0000000000011123` T2 ON T1.`CMA_or_CA_Category` = T2.`CMA_or_CA_Category` AND T1.`Marital_Status` = T2.`Marital_Status` AND T1.`Age_Range` = T2.`Age_Range` AND T1.`Children_or_No_Children` = T2.`Children_or_No_Children` WHERE T1.`Filing_Method` = 'NETFILE' AND T2.`Filing_Method` = 'Paper' AND T1.`Children_or_No_Children` = 'No children declared'",CAN_CSV0000000000011123,CAN_CSV0000000000011123
"What categories and age ranges of people file taxes with both online and paper methods, and how many people are in each group?","What are the CMA_or_CA_Category, Marital_Status, and Age_Range of individuals who have filed their taxes using both NETFILE and Paper methods, and how many tax filers are there in each category?","SELECT T1.`CMA_or_CA_Category`, T1.`Marital_Status`, T1.`Age_Range`, T1.`Count_of_Taxfilers` AS NETFILE_Count, T2.`Count_of_Taxfilers` AS Paper_Count FROM `CAN_CSV0000000000011123` T1 INNER JOIN `CAN_CSV0000000000011123` T2 ON T1.`CMA_or_CA_Category` = T2.`CMA_or_CA_Category` AND T1.`Marital_Status` = T2.`Marital_Status` AND T1.`Age_Range` = T2.`Age_Range` WHERE T1.`Filing_Method` = 'NETFILE' AND T2.`Filing_Method` = 'Paper'",CAN_CSV0000000000011123,CAN_CSV0000000000011123
"What are the categories and counts of tax filers who used both online and paper filing methods, are married or have no children, and are in different age ranges?","What are the CMA_or_CA_Category and corresponding Count_of_Taxfilers for individuals who have filed their taxes using both NETFILE and Paper methods, and have either Marital_Status as 'Married or living common-law' or 'No children declared', across different Age_Range?","SELECT T1.`CMA_or_CA_Category`, T1.`Count_of_Taxfilers` AS NETFILE_Count, T2.`Count_of_Taxfilers` AS Paper_Count FROM `CAN_CSV0000000000011123` T1 INNER JOIN `CAN_CSV0000000000011123` T2 ON T1.`CMA_or_CA_Category` = T2.`CMA_or_CA_Category` AND T1.`Age_Range` = T2.`Age_Range` WHERE T1.`Filing_Method` = 'NETFILE' AND T2.`Filing_Method` = 'Paper' AND (T1.`Marital_Status` = 'Married or living common-law' OR T1.`Children_or_No_Children` = 'No children declared')",CAN_CSV0000000000011123,CAN_CSV0000000000011123
What is the average body mass index for each geographic region where the sex is both and there are long-term health problems related to high blood pressure?,What is the average value of Body mass index (BMI) for each GEO region where Sex is Both sexes and Long-term health problems (self-reported) is With long-term health problem: high blood pressure?,"SELECT AVG(T1.`VALUE`) AS average_value, T1.`GEO` FROM `CAN_CSV0000000000005070` T1 JOIN `CAN_CSV0000000000014315` T2 ON T1.`GEO` = T2.`GEO` AND T1.`Sex` = 'Both sexes' WHERE T2.`Long-term_health_problems_(self-reported)` = 'With long-term health problem: high blood pressure' GROUP BY T1.`GEO`",CAN_CSV0000000000005070,CAN_CSV0000000000014315
Average BMI and percentage of population with high blood pressure in each region,"What is the average body mass index value for both sexes in each geographic region where there are individuals with long-term health problems, specifically high blood pressure, and what percentage of the population has this condition?","SELECT AVG(T1.`VALUE`) AS average_bmi_value, T1.`GEO`, T2.`Statistics` FROM `CAN_CSV0000000000005070` T1 JOIN `CAN_CSV0000000000014315` T2 ON T1.`GEO` = T2.`GEO` AND T1.`Sex` = 'Both sexes' WHERE T2.`Long-term_health_problems_(self-reported)` = 'With long-term health problem: high blood pressure' GROUP BY T1.`GEO`, T2.`Statistics`",CAN_CSV0000000000005070,CAN_CSV0000000000014315
"What is the average award amount for grant programs in Ontario, along with committee names and areas of science?",What is the average award amount for each program where funding type is Grant Program and province is Ontario?,"SELECT AVG(T1.`AwardAmountinFY-MontantSubventiondeAF`) AS average_award, T1.`ProgramIDProgramme`, T2.`NomDuComiteFR`, T2.`AreasOfScienceEN` FROM `CAN_CSV0000000000001465` T1 JOIN `CAN_CSV0000000000001465` T2 ON T1.`Key-Cle` = T2.`Key-Cle` WHERE T1.`FundingTypeEN` = 'Grant Program' AND T1.`ProvinceEN` = 'Ontario' GROUP BY T1.`ProgramIDProgramme`, T2.`NomDuComiteFR`, T2.`AreasOfScienceEN`",CAN_CSV0000000000001465,CAN_CSV0000000000001465
"What is the average award amount for each unique combination of program ID, committee name in French, and areas of science in English where the funding type is a grant program and the province is Ontario?","What is the average award amount for each program, committee name, and area of science where funding type is grant program and province is Ontario?","SELECT AVG(T1.`AwardAmountinFY-MontantSubventiondeAF`) AS average_award, T1.`ProgramIDProgramme`, T2.`NomDuComiteFR`, T2.`AreasOfScienceEN` FROM `CAN_CSV0000000000001465` T1 JOIN `CAN_CSV0000000000001465` T2 ON T1.`Key-Cle` = T2.`Key-Cle` WHERE T1.`FundingTypeEN` = 'Grant Program' AND T1.`ProvinceEN` = 'Ontario' GROUP BY T1.`ProgramIDProgramme`, T2.`NomDuComiteFR`, T2.`AreasOfScienceEN`",CAN_CSV0000000000001465,CAN_CSV0000000000001465
